天气,路口类型,道路状况,UAV坐标,机动车1,机动车2,行人1,行人2,红绿灯1
sunny,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '等待']","[1, '(2,4)', '2', '左转']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '绿', '(17,18)', '11m']"
sunny,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']",,,
sunny,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']",,,
sunny,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']",,,
sunny,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '右转']","[1, '(2,4)', '2', '等待']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '红', '(17,18)', '11m']"
sunny,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '绿', '(17,18)', '11m']"
sunny,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '超车']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '行走', '6m']","[1, '红', '(17,18)', '11m']"
sunny,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(5,6)', '行走', '6m']",,
雾霾,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '超车']","[1, '(2,4)', '2', '直行']",,,
雾霾,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']",,,
雾霾,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']",,,
sunny,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '绿', '(17,18)', '11m']"
sunny,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(11,12)', '行走', '16m']","[1, '(5,6)', '行走', '6m']","[1, '绿', '(17,18)', '11m']"
雾霾,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(11,12)', '行走', '16m']","[1, '(5,6)', '行走', '6m']","[1, '绿', '(17,18)', '11m']"
雾霾,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '右转']","[1, '(2,4)', '2', '等待']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '红', '(17,18)', '11m']"
雾霾,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '等待']","[1, '(2,4)', '2', '左转']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '绿', '(17,18)', '11m']"
雾霾,十字路口,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '右转']","[1, '(2,4)', '2', '等待']","[1, '(11,12)', '等待', '16m']","[1, '(5,6)', '等待', '6m']","[1, '红', '(17,18)', '11m']"
sunny,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(11,12)', '等待', '16m']",,
雾霾,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '直行']","[1, '(11,12)', '等待', '16m']",,
雾霾,无,干燥,"(1,1)","[1, '(-2,-2)', '1.5m', '直行']","[1, '(2,4)', '2', '超车']","[1, '(5,6)', '行走', '6m']",,
